OBJECTID,ACRES,ZPREFIX,ZCASE,ZREVISION,ZYEAR,SPPREFIX,SPCASE,SPREVISION,SPYEAR,ZONING,REDEFINE1,DATE_APPRO,LABEL1,ORD_NUM,HISTORIC,GEN_ZONE,INSERT_DATE,UPDATE_DATE,ANID,TOD
1409924,2.57567608,Z,49,EE,75, , , , ,C-1,Z-49-EE-75, ,C-1 PCD*, , ,Commercial,2023/04/17 20:31:07+00,2024/11/05 22:06:24+00,72424, 
1409925,83.08854614,Z,172, ,96, , , , ,R1-6,Z-172-96, ,R1-6*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72426, 
1409926,0.54150433,Z,127, ,04, , , , ,R-5,Z-127-04,02-02-2005,R-5 RI HP, ,HP,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72427, 
1409927,12.77654939,Z, , , , , , , ,PAD-10, , ,PAD-10, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72428, 
1409928,24.12247835,Z,161, ,78, , , , ,R1-10,Z-161-78, ,R1-10*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72429, 
1409929,3.27228093,Z,225, ,73, , , , ,C-2,Z-255-73, ,C-2,G-1347, ,Commercial,2023/04/17 20:31:07+00,2023/06/28 20:31:32+00,72430, 
1409930,1.95205057,Z, , , , , , , ,C-3, , ,C-3, , ,Commercial,2023/04/17 20:31:08+00,2023/09/22 18:17:17+00,72699, 
1409931,245.14008435,Z, , , , , , , ,R1-10, , ,R1-10, , ,SF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72700, 
1409932,6.17024287,Z,22, ,84, , , , ,C-O,Z-22-84, ,C-O*, , ,Commercial,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72701, 
1409933,4.98526056,Z, , , , , , , ,R-3, , ,R-3, , ,MF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72702, 
1409934,5.54473206,Z,124, ,99, , , , ,R-5,Z-124-99, ,R-5 SP*, , ,MF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72703, 
1409935,5.4759037,Z,190,A,84, , , , ,C-1,Z-190-84, ,C-1 PCD*, , ,Commercial,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72704, 
1409936,1.0020844,Z,28, ,86, , , , ,C-1,Z-28-86, ,C-1*, , ,Commercial,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72705, 
1409937,0.98980026,Z, , , , , , , ,R-5, , ,R-5, , ,MF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72706, 
1409938,5.02147512,Z, , , , , , , ,C-2, , ,C-2, , ,Commercial,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72707, 
1409939,8.84080478,Z, , , , , , , ,R1-6, , ,R1-6, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72510, 
1409940,0.48728935,Z, , , ,SP,1, ,11,R-4,Z-SP-1-11,05-04-2011,R-4 SP*, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72511, 
1409941,2.34291271,Z,137, ,97, , , , ,CP/GCP,Z-137-97, ,CP/GCP*, , ,Industrial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72512, 
1409942,14.75307334,Z, , , ,SP, , , ,R-5, , ,R-5 SP, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72513, 
1409943,48.51808199,Z,78, ,88, , , , ,R1-6,Z-78-88,07-13-1988,R1-6 PCD*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72514, 
1409944,38.86408694,Z, , , , , , , ,R1-6, , ,R1-6, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72289, 
1409945,17.19841378,Z, , , , , , , ,R-4A, , ,R-4A, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72290, 
1409946,10.08888397,Z,74, ,98, , , , ,CP/GCP,Z-74-98, ,CP/GCP, , ,Industrial,2023/04/17 20:31:07+00,2023/09/22 15:25:42+00,72291, 
1409947,7.44030461,Z,271, ,80, , , , ,PAD-14,Z-271-80, ,PAD-14*, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72292, 
1409948,0.75649024,Z,13, ,12, , , , ,C-2,Z-13-12, ,C-2*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72293, 
1409949,4.79524476, , , , , , , , ,C-2, , ,C-2*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72294, 
1409950,15.77898933,Z, , , ,SP,12, ,70,R-5,Z-SP-12-70, ,R-5 SP, , ,MF Residential,2023/04/17 20:31:07+00,2024/02/28 17:14:52+00,72295, 
1409951,6.36528485,Z,36,A,19, , , , ,PUD,Z-36-A-19,11/18/2020,PUD*,G-6765, ,PUD,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72431, 
1409952,2.14422077,Z,19, ,17, , , , ,WU,Z-19-17,7/6/2017,WU Code T5:6 EG*,G-6337, ,Commercial,2023/04/17 20:31:07+00,2023/07/27 23:16:48+00,72432,EG
1409953,5.31381307,Z,134, ,96, , , , ,C-O,Z-134-96, ,C-O*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72433, 
1409954,30.31862952,Z,120, ,03, , , , ,R1-18,Z-120-03,04-07-2004,R1-18*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72434, 
1409955,10.13431538,Z, , , , , , , ,R1-6, , ,R1-6, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72435, 
1409956,1.56431013,Z,182, ,99, , , , ,C-2,"Z-182-99; 66-96",12-03-2008,C-2 PCD*,G-4359, ,Commercial,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72708, 
1409957,15.11984219,Z,148, ,83, , , , ,R-2,Z-148-83, ,R-2*, , ,MF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72709, 
1409958,0.52099207,Z, , , , , , , ,C-1, , ,C-1, , ,Commercial,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72710, 
1409959,80.09248279,Z, , , , , , , ,R-5, , ,R-5, , ,MF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72711, 
1409960,7.03034102,Z,114, ,03, , , , ,A-1,Z-114-03, ,A-1 HP-L, ,HP-L,Industrial,2023/04/17 20:31:09+00,2023/10/12 19:45:42+00,72712, 
1409961,6.04682174, , , , , , , , ,S-1,ANX 443,08-31-2010,S-1, , ,SF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72713, 
1409962,10.0288243,Z,207, ,82, , , , ,R-2,Z-207-82, ,R-2*, , ,MF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72714, 
1409963,0.35361296,Z,134, ,99, , , , ,R-5,Z-134-99, ,R-5 HP, ,HP,MF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72715, 
1409964,1.47180484,Z,117, ,88, , , , ,C-1,Z-117-88, ,C-1, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72515, 
1409965,3.27471362,Z, , , , , , , ,P-1, , ,P-1, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72516, 
1409966,1.87827219,Z,19, ,04, , , , ,PSCOD,Z-19-04,05-02-2007,PSCOD*,G-4891, ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72517, 
1409967,1.25683805,Z, , , , , , , ,R1-14, , ,R1-14, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72518, 
