GLOBALID,OBJECTID,ZONE_TYPE,ZONE_TYPE_DECODE,HEIGHT,FRONTAGE,FRONTAGE_DECODE,CONDITIONAL,ZONING,ZN_CASE_NUM,ZN_CASE_SUFFIX,ZN_CASE_YEAR,ZONE_CASE,EFF_DATE,ORDINANCE,PLAN,PLAN_NAME,INTO_UDO,COND_LINK,SHAPEAREA,SHAPELEN
{96A732AA-9CB3-43D3-B7CF-D9AAFD0E61F6},531342,R-6,Residential-6,,,,-CU,R-6-CU,76,,1999,Z-76-1999,1999/10/19 04:00:00+00,667ZC466,,,"20130901; TC-3-12; 151TC357",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-076-99-ORD.pdf,368104.308498489,2757.8871535184
{9719BD2D-2363-44E6-B90B-126F4C616582},531343,R-6,Residential-6,,,,-CU,R-6-CU,29,,2012,Z-29-2012,2012/11/20 05:00:00+00,125ZC680,,,"20130901; TC-3-12; 151TC357",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-029-12-ORD.pdf,341849.005781797,2655.80995190032
{97306BDF-FC72-4155-8790-2FAB4FED0AD0},531344,CX-,Commercial Mixed Use,3,,,,CX-3,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,65882.3684026091,1180.15803480057
{97E7421B-502C-4B13-BE7B-F246B87B05B2},531345,IX-,Industrial Mixed Use,3,,,,IX-3,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,711513.841776074,3563.42402721188
{97EE7DB4-8C0F-4BC9-BA7D-7338D91344F3},531346,R-4,Residential-4,,,,,R-4,,,,,,,,,"20130901; TC-3-12; 151TC357",,19148063.4754571,27957.6568188856
{97F72E12-8D43-46FD-98F3-777EBD3264EE},531347,NX-,Neighborhood Mixed Use,3,,,-CU,NX-3-CU,29,,2013,Z-29-2013,2014/01/07 05:00:00+00,258ZC694,,,"20140107; Z-29-13; 258ZC694",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-029-13-ORD.pdf,13866.0798603109,519.488657086556
{981D3DF4-7814-4502-A459-3010102D1B0F},531348,R-4,Residential-4,,,,,R-4,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,127079.06823115,2761.08656463628
{985C93F1-9E55-4C58-90B0-CB28A932BFDF},531349,CM,Conservation Management,,,,-CU,CM-CU,10,,2003,Z-10-2003,2003/02/04 05:00:00+00,372ZC530,,,"20130901; TC-3-12; 151TC357",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-010-03-ORD.pdf,16248.6125013767,585.571293155275
{98D111CB-B86C-4E87-BF9F-25ED926AAE15},531350,R-6,Residential-6,,,,-CU,R-6-CU,86,,1994,Z-86-1994,1995/02/07 05:00:00+00,554ZC358,,,"20130901; TC-3-12; 151TC357",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-086-94-ORD.pdf,1711335.02569095,6299.35256598168
{98E170F3-3E7E-4F21-A4E1-DD47EFBF7BBD},531351,IH,Heavy Industrial,,,,,IH,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,6156883.01249159,13566.9940694307
{98EC9CD5-8B56-4643-ADD6-EF5B8CA29F4C},531352,CX-,Commercial Mixed Use,20,-UL,Urban Limited,-CU,CX-20-UL-CU,72,,2021,Z-72-2021,2023/05/02 16:00:00+00,503ZC858,,,Rezoned after Citywide Rezoning,https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-072-21-ORD.pdf,1726164.77787136,11883.5843521367
{990479F5-D612-4704-8B7B-9C6A62E191F9},531353,DX-,Downtown Mixed Use,12,-UG,Urban General,-CU,DX-12-UG-CU,42,,2014,Z-42-2014,2015/08/04 04:00:00+00,470ZC713,,,"20150804; Z-42-14; 470ZC713",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-042-14-ORD.pdf,33705.7380527624,765.332541170373
{9995888A-8F1C-4566-B729-3EA7617D39BA},531354,CM,Conservation Management,,,,,CM,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,1378691.2738319,7306.36199935675
{99B6F67C-25D8-4871-83D0-A6D28BCC5E3B},531355,CX-,Commercial Mixed Use,7,-PL,Parking Limited,,CX-7-PL,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,916749.54631349,4305.53915076201
