OBJECTID,ZONING,ZONE_ORD,PERIMETER,ACRES,ZONE_TYPE,DIS_NAME,ORD_NUMBER,OWNER
48388,T3N,22-2014,5585.084,19.866,T3N,WESTWOOD,0022-2014,CPB
48389,T4N.MF,22-2014,639.841,0.606,T4N.MF,WESTWOOD,0022-2014,CPB
48390,T5MS,22-2014,2409.247,3.909,T5MS,WESTWOOD,0022-2014,CPB
48391,SF-6,15-2004,7175.619,36.832,SF-6,WESTWOOD,0015-2004,CPB
48392,RM-2.0,15-2004,4071.363,14.409,RM-2.0,WESTWOOD,0015-2004,CPB
48393,SF-6,15-2004,85652.316,633.271,SF-6,WESTWOOD,0015-2004,CPB
48394,RM-2.0,15-2004,2488.13,4.422,RM-2.0,WESTWOOD,0015-2004,CPB
48395,PR,258-2007,1823.971,3.3,PR,WESTWOOD,0258-2007, 
48396,SF-10,15-2004,15127.02,146.225,SF-10,WESTWOOD,0015-2004,CPB
48398,SF-4,15-2004,5257.307,16.468,SF-4,WESTWOOD,0015-2004,CPB
48399,RM-1.2,15-2004,2787.567,7.819,RM-1.2,WESTWOOD,0015-2004,CPB
48400,T4N.MF-O,22-2014,635.447,0.411,T4N.MF-O,WESTWOOD,0022-2014,CPB
48401,T3N,22-2014,4711.335,18.178,T3N,WESTWOOD,0022-2014,CPB
48402,T5MS,22-2014,2057.287,2.793,T5MS,WESTWOOD,0022-2014,CPB
48403,T4N.MF,22-2014,3439.919,6.012,T4N.MF,WESTWOOD,0022-2014,CPB
48404,T3E,22-2014,1780.189,3.47,T3E,WESTWOOD,0022-2014,CPB
48405,T5MS-O,22-2014,1078.827,1.428,T5MS-O,WESTWOOD,0022-2014,CPB
48406,T5N.SS-O,22-2014,873.498,1.018,T5N.SS-O,WESTWOOD,0022-2014,CPB
48407,T4N.MF,22-2014,2752.826,4.919,T4N.MF,WESTWOOD,0022-2014,CPB
48408,RM-2.0,15-2004,1233.129,2.074,RM-2.0,WESTWOOD,0015-2004,CPB
48409,SF-4,15-2004,16652.342,66.999,SF-4,WESTWOOD,0015-2004,CPB
48410,SF-6,15-2004,2024.702,5.273,SF-6,WESTWOOD,0015-2004,CPB
48411,SF-4,15-2004,2202.505,5.698,SF-4,WESTWOOD,0015-2004,CPB
48412,RM-1.2,15-2004,1065.009,1.325,RM-1.2,WESTWOOD,0015-2004,CPB
48413,RM-2.0,15-2004,1720.979,2.29,RM-2.0,WESTWOOD,0015-2004,CPB
48414,MG,15-2004,2464.08,5.874,MG,WESTWOOD,0015-2004,CPB
48415,RM-2.0,15-2004,2429.648,4.376,RM-2.0,WESTWOOD,0015-2004,CPB
48416,CC-A,15-2004,2532.965,4.166,CC-A,WESTWOOD,0015-2004,CPB
48417,RM-2.0,15-2004,2820.166,6.941,RM-2.0,WESTWOOD,0015-2004,CPB
48418,CC-M,15-2004,2947.596,7.822,CC-M,WESTWOOD,0015-2004,CPB
48419,CC-A,15-2004,1729.261,2.632,CC-A,WESTWOOD,0015-2004,CPB
48420,SF-4,15-2004,3920.529,14.649,SF-4,WESTWOOD,0015-2004,CPB
48421,OL,15-2004,3006.591,4.366,OL,WESTWOOD,0015-2004,CPB
48422,CC-A,15-2004,4562.018,17.414,CC-A,WESTWOOD,0015-2004,CPB
48423,CC-M,15-2004,2019.676,3.032,CC-M,WESTWOOD,0015-2004,CPB
48424,OL,15-2004,1835.52,2.672,OL,WESTWOOD,0015-2004,CPB
48425,RM-2.0,15-2004,16843.507,114.323,RM-2.0,WESTWOOD,0015-2004,CPB
48426,SF-6,15-2004,14586.408,94.841,SF-6,WESTWOOD,0015-2004,CPB
48427,CG-A,15-2004,22122.532,155.261,CG-A,WESTWOOD,0015-2004,CPB
48428,PR,258-2007,608.162,0.458,PR,WEST PRICE HILL,0258-2007, 
48429,IR,15-2004,4372.219,23.661,IR,WESTWOOD,0015-2004,CPB
48430,RM-1.2,15-2004,1808.414,2.928,RM-1.2,WESTWOOD,0015-2004,CPB
48431,RM-2.0,15-2004,1712.024,3.741,RM-2.0,WESTWOOD,0015-2004,CPB
48432,OL,15-2004,3569.768,16.895,OL,WESTWOOD,0015-2004,CPB
48433,OL,15-2004,1392.051,2.118,OL,WESTWOOD,0015-2004,CPB
48434,PR,258-2007,3906.517,18.485,PR,WESTWOOD,0258-2007, 
48435,SF-6,15-2004,10559.881,75.392,SF-6,WESTWOOD,0015-2004,CPB
48436,SF-6,15-2004,6136.992,21.517,SF-6,WESTWOOD,0015-2004,CPB
48437,RM-1.2,15-2004,4267.299,8.513,RM-1.2,WESTWOOD,0015-2004,CPB
48438,SF-6,15-2004,2045.255,5.045,SF-6,WESTWOOD,0015-2004,CPB
48439,SF-4,15-2004,2946.555,7.829,SF-4,WESTWOOD,0015-2004,CPB
48440,OL,15-2004,846.089,0.988,OL,WESTWOOD,0015-2004,CPB
48441,SF-6,15-2004,3705.024,16.346,SF-6,WESTWOOD,0015-2004,CPB
48442,RM-1.2,15-2004,1886.595,1.986,RM-1.2,WESTWOOD,0015-2004,CPB
48443,CC-A,362-2005,905.559,0.742,CC-A,WESTWOOD,0015-2004,CPB
48444,SF-10,15-2004,16800.112,102.941,SF-10,SAYLER PARK,0015-2004,CPB
48445,OL,15-2004,2823.145,7.929,OL,WESTWOOD,0015-2004,CPB
48446,OL,15-2004,2885.344,7.621,OL,WESTWOOD,0015-2004,CPB
48447,CG-A,15-2004,10315.766,82.017,CG-A,WESTWOOD,0015-2004,CPB
48448,RM-1.2,15-2004,2338.676,4.121,RM-1.2,WESTWOOD,0015-2004,CPB
48449,RM-2.0,15-2004,2822.783,7.412,RM-2.0,WEST PRICE HILL,0015-2004,CPB
48450,RMX,15-2004,3033.913,6.905,RMX,WEST END,0015-2004,CPB
48451,RMX,15-2004,8149.496,22.619,RMX,CUF,0015-2004,CPB
48452,RM-1.2,15-2004,3884.023,18.126,RM-1.2,WEST END,0015-2004,CPB
48453,SF-2,15-2004,14288.515,71.454,SF-2,CUF,0015-2004,CPB
48454,SF-4,15-2004,9127.829,28.351,SF-4,CUF,0015-2004,CPB
48455,PR,258-2007,4658.586,15.838,PR,CUF,0258-2007, 
48456,PR,258-2007,2694.82,6.242,PR,WEST END,0258-2007, 
48457,PR,258-2007,606.609,0.412,PR,WEST END,0258-2007, 
48458,OG,15-2004,5100.327,8.381,OG,CUF,0015-2004,CPB
48459,PR,258-2007,6606.12,19.482,PR,CUF,0258-2007, 
48460,PR,258-2007,1163.069,1.806,PR,OVER-THE-RHINE,0258-2007, 
48461,UM,54-2018,8818.971,31.535,UM,WEST END,0054-2018,CP
48462,RM-0.7,15-2004,4779.31,12.672,RM-0.7,WESTEND,0015-2004,CPB
48463,RM-0.7,15-2004,2339.845,4.421,RM-0.7,WESTEND,0015-2004,CPB
48464,CC-A,15-2004,3228.656,8.287,CC-A,CUF,0015-2004,CPB
48465,PR,258-2007,1025.983,1.473,PR,CUF,0258-2007, 
48466,SF-2,15-2004,5882.815,19.363,SF-2,HEIGHTS,0015-2004,CPB
48467,SF-4,15-2004,6173.016,19.966,SF-4,HEIGHTS,0015-2004,CPB
48468,ML,15-2004,2456.838,3.814,ML,CUF,0015-2004,CPB
48469,CN-P,15-2004,3569.049,4.761,CN-P,CUF,0015-2004,CPB
48470,OG,15-2004,2875.642,4.617,OG,CUF,0015-2004,CPB
48471,PR,258-2007,789.088,0.511,PR,HEIGHTS,0258-2007, 
48472,PR,14-2018,4760.809,18.478,PR,CUF,0014-2018,CP
48473,RM-2.0,15-2004,4734.528,7.551,RM-2.0,CUF,0015-2004,CPB
48474,SF-20,15-2004,2739.331,5.235,SF-20,CUF,0015-2004,CPB
48475,MG,15-2004,156189.635,2422.285,MG,CAMP WASHINGTON,0015-2004,CPB
48476,PD,299-2019,3607.663,11.989,PD-86,HEIGHTS,0299-2019,CPB
48477,PD,67-2022,0,7.692,PD-92,CAMP WASHINGTON & CUF, , 
48478,CC-A,15-2004,1907.105,3.198,CC-A,NORTH FAIRMOUNT,0015-2004,CPB
48479,RMX,15-2004,4193.96,15.224,RMX,CAMP WASHINGTON,0015-2004,CPB
48480,RMX,15-2004,4583.474,8.213,RMX,SOUTH FAIRMOUNT,0015-2004,CPB
48481,CC-A,15-2004,1253.884,1.528,CC-A,NORTH FAIRMOUNT,0015-2004,CPB
48482,CC-M,169-2005,918.247,1.081,CC-M,NORTH FAIRMOUNT,0015-2004,CPB
48483,SF-4,15-2004,8378.025,31.748,SF-4,SOUTH FAIRMOUNT,0015-2004,CPB
48484,CC-A,15-2004,7424.32,28.888,CC-A,SOUTH FAIRMOUNT,0015-2004,CPB
48485,PR,258-2007,11769.783,34.125,PR,NORTH FAIRMOUNT,0258-2007, 
48486,CC-P,2004,0,0,CC-P,South Fairmount,322-2023, 
48487,UM,2004,0,0,UM,South Fairmount,322-2023, 
48488,CC-P,15-2004,1807.235,3.162,CC-P,SOUTH FAIRMOUNT,0015-2004,CPB
48489,RM-1.2,15-2004,3699.104,11.648,RM-1.2,SOUTH FAIRMOUNT,0015-2004,CPB
48490,CC-A,15-2004,5980.627,19.028,CC-A,SOUTH FAIRMOUNT,0015-2004,CPB
48491,SF-6,15-2004,10977.558,97.572,SF-6,WESTWOOD,0015-2004,CPB
48492,SF-6,15-2004,18535.914,132.598,SF-6,SOUTH FAIRMOUNT,0015-2004,CPB
48493,RM-1.2,15-2004,7741.278,36.564,RM-1.2,SOUTH FAIRMOUNT,0015-2004,CPB
48494,SF-2,15-2004,6936.086,36.567,SF-2,SOUTH FAIRMOUNT,0015-2004,CPB
48495,CC-M,15-2004,5966.571,11.579,CC-M,SOUTH FAIRMOUNT,0015-2004,CPB
48496,SF-2,15-2004,5078.095,9.721,SF-2,SOUTH FAIRMOUNT,0015-2004,CPB
48497,SF-4,15-2004,9789.687,47.898,SF-4,SOUTH FAIRMOUNT,0015-2004,CPB
48498,RM-1.2,15-2004,3348.604,6.266,RM-1.2,SOUTH FAIRMOUNT,0015-2004,CPB
48499,SF-2,15-2004,2090.658,4.449,SF-2,SOUTH FAIRMOUNT,0015-2004,CPB
48500,SF-6,15-2004,2128.742,5.71,SF-6,SOUTH FAIRMOUNT,0015-2004,CPB
48501,RM-1.2,15-2004,9676.532,30.376,RM-1.2,SOUTH FAIRMOUNT,0015-2004,CPB
48502,CC-P,2004,0,0,CC-P,South Fairmount,322-2023, 
48503,PR,258-2007,6926.117,30.781,PR,EAST PRICE HILL,0258-2007, 
48504,SF-4,15-2004,19142.535,137.888,SF-4,EAST PRICE HILL,0015-2004,CPB
48505,SF-6,15-2004,12627.17,63.099,SF-6,EAST PRICE HILL,0015-2004,CPB
48506,SF-4,15-2004,8705.482,35.96,SF-4,SOUTH FAIRMOUNT,0015-2004,CPB
48507,SF-2,15-2004,10293.89,61.733,SF-2,EAST PRICE HILL,0015-2004,CPB
48508,PR,258-2007,1871.013,4.964,PR,SOUTH FAIRMOUNT,0258-2007, 
48509,RMX,15-2004,11822.032,48.036,RMX,SOUTH FAIRMOUNT,0015-2004,CPB
48510,SF-6,15-2004,9736.4,59.942,SF-6,EAST PRICE HILL,0015-2004,CPB
48511,IR,15-2004,6974.829,44.693,IR,EAST PRICE HILL,0015-2004,CPB
48512,CC-M,15-2004,2532.865,4.089,CC-M,SOUTH FAIRMOUNT,0015-2004,CPB
48513,CC-P,2004,0,0,CC-P,South Fairmount,322-2023, 
48514,PR,258-2007,1204.988,1.5,PR,EAST PRICE HILL,0258-2007, 
48515,CC-M,15-2004,7989.531,17.292,CC-M,EAST PRICE HILL,0015-2004,CPB
48517,RMX,15-2004,5892.961,14.833,RMX,LOWER PRICE HILL,0015-2004,CPB
48518,SF-4,15-2004,11934.777,71.381,SF-4,EAST PRICE HILL,0015-2004,CPB
48519,PR,258-2007,1772.434,4.202,PR,EAST PRICE HILL,0258-2007, 
48520,SF-4,15-2004,5396.948,19.817,SF-4,EAST PRICE HILL,0015-2004,CPB
48521,CC-P,15-2004,3565.299,5.214,CC-P,EAST PRICE HILL,0015-2004,CPB
48522,RM-1.2,15-2004,6368.534,17.939,RM-1.2,EAST PRICE HILL,0015-2004,CPB
48523,PR,258-2007,4130.004,8.821,PR,EAST PRICE HILL,0258-2007, 
48524,RMX,15-2004,7405.771,16.841,RMX,EAST PRICE HILL,0015-2004,CPB
48525,PR,258-2007,1750.831,3.854,PR,EAST PRICE HILL,0258-2007, 
48526,CC-A,15-2004,6106.519,14.953,CC-A,EAST PRICE HILL,0015-2004,CPB
48527,SF-2,15-2004,7965.307,43.463,SF-2,EAST PRICE HILL,0015-2004,CPB
48528,CC-A,15-2004,7012.6,19.185,CC-A,EAST PRICE HILL,0015-2004,CPB
48529,CC-P,15-2004,2980.991,4.823,CC-P,WEST PRICE HILL,0015-2004,CPB
48530,SF-4,15-2004,32439.22,273.394,SF-4,WESTWOOD,0015-2004,CPB
48531,SF-4,15-2004,11197.894,46.903,SF-4,EAST PRICE HILL,0015-2004,CPB
48532,PR,258-2007,1266.304,2.255,PR,EAST PRICE HILL,0258-2007, 
48533,RMX,15-2004,2008.724,3.644,RMX,EAST PRICE HILL,0015-2004,CPB
48534,SF-2,15-2004,13446.94,144.444,SF-2,WEST PRICE HILL,0015-2004,CPB
48535,RMX,15-2004,7137.865,19.593,RMX,WEST PRICE HILL,0015-2004,CPB
48536,SF-4,15-2004,26626.927,262.853,SF-4,EAST PRICE HILL,0015-2004,CPB
48537,RF-M,15-2004,18740.332,120.693,RF-M,CAMP WASHINGTON,0015-2004,CPB
48538,RM-0.7,15-2004,6482.721,31.152,RM-0.7,WEST END,0015-2004,CPB
48539,PR,258-2007,993.972,1.36,PR,LOWER PRICE HILL,0258-2007, 
48540,PR,258-2007,1874.494,1.64,PR,WEST END,0258-2007, 
48541,SF-2,15-2004,5103.898,16.824,SF-2,LOWER PRICE HILL,0015-2004,CPB
48542,MG,343-2006,4788.257,24.158,MG,LOWER PRICE HILL,0015-2004,CPB
48543,PR,258-2007,1345.829,2.553,PR,WEST END,0258-2007, 
48544,PR,258-2007,2348.563,7.176,PR,LOWER PRICE HILL,0258-2007, 
48545,RM-1.2,15-2004,12448.825,54.63,RM-1.2,WEST END,0015-2004,CPB
48546,PR,258-2007,1889.356,4.111,PR,WEST END,0258-2007, 
48547,PR,258-2007,1823.918,4.075,PR,LOWER PRICE HILL,0258-2007, 
48548,PR,258-2007,6932.811,27.837,PR,QUEENSGATE,0258-2007, 
48549,RF-R,0168-2012,6520.59,38.363,RF-R,SEDAMSVILLE,0168-2012,CPB
48550,PD,315-2015,1591.482,3.038,PD-74,WEST END,0315-2015,CP
48551,SF-4,15-2004,6750.41,21.309,SF-4,EAST PRICE HILL,0015-2004,CPB
48552,SF-2,15-2004,4876.443,13.626,SF-2,SEDAMSVILLE,0015-2004,CPB
48553,CC-M,15-2004,6207.511,14.084,CC-M,LOWER PRICE HILL,0015-2004,CPB
48554,PR,258-2007,728.726,0.623,PR,LOWER PRICE HILL,0258-2007, 
48555,PR,258-2007,3704.379,15.177,PR,EAST PRICE HILL,0258-2007, 
48556,SF-2,15-2004,10012.276,31.045,SF-2,EAST PRICE HILL,0015-2004,CPB
48557,RM-1.2,15-2004,1232.716,1.981,RM-1.2,SEDAMSVILLE,0015-2004,CPB
48558,PR,258-2007,507.483,0.328,PR,EAST PRICE HILL,0258-2007, 
48559,RM-2.0,15-2004,6693.243,30.278,RM-2.0,EAST PRICE HILL,0015-2004,CPB
48560,PR,258-2007,599.203,0.514,PR,LOWER PRICE HILL,0258-2007, 
48561,PD,191-2008,4570.95,8.462,PD-53,EAST PRICE HILL,0191-2008,CPB
48562,RM-0.7,15-2004,4782.576,14.22,RM-0.7,LOWER PRICE HILL,0015-2004,CPB
48563,RM-0.7,15-2004,1360.176,1.93,RM-0.7,EAST PRICE HILL,0015-2004,CPB
48564,SF-4,15-2004,4341.195,18.743,SF-4,EAST PRICE HILL,0015-2004,CPB
48565,SF-6,15-2004,20047.047,200.284,SF-6,EAST PRICE HILL,0015-2004,CPB
48566,RM-1.2,15-2004,3256.62,10.785,RM-1.2,WEST PRICE HILL,0015-2004,CPB
48567,RM-2.0,15-2004,6043.135,19.707,RM-2.0,EAST PRICE HILL,0015-2004,CPB
48568,RM-1.2,15-2004,3930.22,11.229,RM-1.2,EAST PRICE HILL,0015-2004,CPB
48569,RF-C,15-2004,20358.697,98.506,RF-C,RIVERSIDE,0015-2004,CPB
48570,PR,258-2007,10322.641,72.652,PR,WEST PRICE HILL,0258-2007, 
48571,PD,15-2004,1817.365,3.93,PD-33,WEST PRICE HILL,0015-2004,CPB
48572,SF-4,15-2004,16790.771,86.652,SF-4,WEST PRICE HILL,0015-2004,CPB
48573,SF-6,15-2004,11251.795,56.895,SF-6,WEST PRICE HILL,0015-2004,CPB
48574,RMX,15-2004,3456.921,8.406,RMX,WESTWOOD,0015-2004,CPB
48575,SF-6,15-2004,8091.692,39.814,SF-6,WEST PRICE HILL,0015-2004,CPB
48576,PR,258-2007,9143.44,75.617,PR,WESTWOOD,0258-2007, 
48577,SF-4,15-2004,2429.804,4.277,SF-4,WEST PRICE HILL,0015-2004,CPB
48578,RMX,15-2004,6535.976,19.738,RMX,WEST PRICE HILL,0015-2004,CPB
48579,SF-10,15-2004,5516.227,35.479,SF-10,WEST PRICE HILL,0015-2004,CPB
48580,SF-6,15-2004,14469.78,102.533,SF-6,WEST PRICE HILL,0015-2004,CPB
48581,SF-4,15-2004,2725.888,6.565,SF-4,WEST PRICE HILL,0015-2004,CPB
48582,RM-1.2,15-2004,5946.553,14.09,RM-1.2,WEST PRICE HILL,0015-2004,CPB
48583,SF-10,15-2004,6955.324,25.763,SF-10,WEST PRICE HILL,0015-2004,CPB
48584,SF-4,15-2004,2892.733,9.649,SF-4,WEST PRICE HILL,0015-2004,CPB
48585,SF-4,15-2004,12774.233,77.253,SF-4,WESTWOOD,0015-2004,CPB
48586,SF-4,15-2004,2641.557,5.969,SF-4,WEST PRICE HILL,0015-2004,CPB
48587,CC-M,15-2004,12022.779,38.446,CC-M,WEST PRICE HILL,0015-2004,CPB
48588,SF-6,15-2004,30351.258,247.003,SF-6,WEST PRICE HILL,0015-2004,CPB
48589,OL,15-2004,925.267,0.978,OL,WEST PRICE HILL,0015-2004,CPB
48590,PR,258-2007,3093.784,6.59,PR,WEST PRICE HILL,0258-2007, 
48591,SF-6,15-2004,3992.876,7.103,SF-6,WEST PRICE HILL,0015-2004,CPB
48592,SF-6,0001-2012,644.925,0.571,SF-6,WEST PRICE HILL,0001-2012,CPB
48593,SF-6,15-2004,17779.641,124.916,SF-6,WEST PRICE HILL,0015-2004,CPB
48594,RF-C,15-2004,28060.837,269.414,RF-C,SAYLER PARK,0015-2004,CPB
48595,SF-4,15-2004,10419.694,87.517,SF-4,SAYLER PARK,0015-2004,CPB
48596,PR,258-2007,2507.026,7.73,PR,SAYLER PARK,0258-2007, 
48597,SF-6,15-2004,29043.178,294.878,SF-6,SAYLER PARK,0015-2004,CPB
48598,PR,258-2007,13718.761,92.415,PR,SAYLER PARK,0258-2007, 
48599,RM-2.0,15-2004,1729.335,3.674,RM-2.0,SAYLER PARK,0015-2004,CPB
48600,RM-2.0,15-2004,3725.487,8.02,RM-2.0,SAYLER PARK,0015-2004,CPB
48601,PR,258-2007,1507.653,3.217,PR,SAYLER PARK,0258-2007, 
48602,PR,258-2007,738.591,0.764,PR,SAYLER PARK,0258-2007, 
48603,PR,258-2007,1456.204,2.985,PR,SAYLER PARK,0258-2007, 
48604,SF-10,15-2004,3616.684,9.709,SF-10,SAYLER PARK,0015-2004,CPB
48605,RF-R,15-2004,12562.465,21.686,RF-R,SAYLER PARK,0015-2004,CPB
48606,CC-A,15-2004,2966.569,5.777,CC-A,SAYLER PARK,0015-2004,CPB
48607,CC-A,15-2004,4068.811,5.711,CC-A,RIVERSIDE,0015-2004,CPB
48608,CC-A,15-2004,3783.923,8.837,CC-A,LINWOOD,0015-2004,CPB
48609,ML,15-2004,1392.556,1.958,ML,SOUTH CUMMINSVILLE,0015-2004,CPB
48610,CN-P,255-2007,439.5,0.092,CN-P,EVANSTON,0015-2004,CPB
48611,RM-2.0,15-2004,25872.045,310.548,RM-2.0,WINTON HILLS,0015-2004,CPB
48612,SF-20,15-2004,17655.798,139.078,SF-20,RIVERSIDE,0015-2004,CPB
48613,PR,258-2007,13063.566,163.98,PR,MT WASHINGTON,0258-2007, 
48614,RM-2.0,15-2004,5458.233,27.804,RM-2.0,COLLEGE HILL,0015-2004,CPB
48615,RM-2.0,15-2004,1016.964,1.468,RM-2.0,WESTWOOD,0015-2004,CPB
48616,CN-P,15-2004,1686.338,1.382,CN-P,EAST PRICE HILL,0015-2004,CPB
48617,PD,15-2004,2052.134,3.052,PD-23,MOUNT WASHINGTON,0015-2004,CPB
48618,PR,258-2007,1183.831,0.7,PR,EAST END,0258-2007, 
48619,IR,15-2004,7514.404,72.785,IR,MOUNT AIRY,0015-2004,CPB
48620,RM-2.0,15-2004,9558.842,86.089,RM-2.0,EAST WESTWOOD,0015-2004,CPB
48621,SF-20,15-2004,10786.936,48.419,SF-20,RIVERSIDE,0015-2004,CPB
48622,PR,258-2007,4142.356,10.74,PR,CARTHAGE,0258-2007, 
48623,SF-4,15-2004,5210.045,23.208,SF-4,WEST PRICE HILL,0015-2004,CPB
48624,SF-2,15-2004,2394.408,5.051,SF-2,SOUTH FAIRMOUNT,0015-2004,CPB
48625,CN-P,15-2004,2618.152,3.225,CN-P,SOUTH FAIRMOUNT,0015-2004,CPB
48626,IR,15-2004,3593.701,14.247,IR,RIVERSIDE,0015-2004,CPB
48627,SF-2,15-2004,9102.496,48.765,SF-2,RIVERSIDE,0015-2004,CPB
48628,RM-2.0,15-2004,1972.17,3.993,RM-2.0,WEST PRICE HILL,0015-2004,CPB
48629,PR,258-2007,3976.116,14.846,PR,MADISONVILLE,0258-2007, 
48630,CC-P,37-2007,1584.076,2.667,CC-P,OAKLEY,0015-2004,CPB
48631,SF-6,15-2004,648.152,0.58,SF-6,SOUTH FAIRMOUNT,0015-2004,CPB
48632,RM-1.2,15-2004,4522.436,25.062,RM-1.2,MADISONVILLE,0015-2004,CPB
48633,ML,15-2004,9595.642,25.348,ML,PLEASANT RIDGE,0015-2004,CPB
48634,PR,258-2007,7957.186,66.136,PR,CARTHAGE,0258-2007, 
48635,SF-6,15-2004,646.321,0.517,SF-6,SOUTH FAIRMOUNT,0015-2004,CPB
48636,SF-6,15-2004,3609.469,17.064,SF-6,WESTWOOD,0015-2004,CPB
48637,PR,258-2007,1663.116,2.978,PR,EAST END,0258-2007, 
48638,RF-C,15-2004,17213.137,179.401,RF-C,RIVERSIDE,0015-2004,CPB
48639,CC-M,15-2004,1817.15,2.594,CC-M,MOUNT WASHINGTON,0015-2004,CPB
48640,PR,258-2007,3549.199,12.509,PR,EAST END,0258-2007,CP
48641,PR,258-2007,13816.644,196.898,PR,CALIFORNIA,0258-2007, 
48642,CN-M,15-2004,1532.168,2.324,CN-M,WEST PRICE HILL,0015-2004,CPB
48643,PR,258-2007,3791.398,12.861,PR,MT WASHINGTON,0258-2007, 
48644,IR,15-2004,7652.417,29.659,IR,COLUMBIA TUSCULUM,0015-2004,CPB
48645,PR,258-2007,3407.835,14.932,PR,EAST END,0258-2007, 
48646,RF-C,15-2004,7074.862,56.137,RF-C,SAYLER PARK,0015-2004,CPB
48647,SF-6,15-2004,16318.811,77.732,SF-6,RIVERSIDE,0015-2004,CPB
48648,CC-M,15-2004,1255.761,1.108,CC-M,MOUNT AIRY,0015-2004,CPB
48649,CN-P,15-2004,1725.966,2.812,CN-P,WINTON PLACE,0015-2004,CPB
48650,CC-A,15-2004,4374.599,12.595,CC-A,NORTH AVONDALE,0015-2004,CPB
48651,RM-2.0,15-2004,5971.024,39.112,RM-2.0,MOUNT WASHINGTON,0015-2004,CPB
48652,SF-10,15-2004,1187.375,1.926,SF-10,COLLEGE HILL,0015-2004,CPB
48653,SF-4,15-2004,3585.355,13.667,SF-4,SOUTH CUMMINSVILLE,0015-2004,CPB
48654,RM-2.0,15-2004,5321.848,17.917,RM-2.0,EAST WALNUT HILLS,0015-2004,CPB
48655,ML,15-2004,1378.689,1.984,ML,EAST END,0015-2004,CPB
48656,PR,258-2007,600.179,0.484,PR,EAST END,0258-2007, 
48657,CN-M,15-2004,1474.42,1.903,CN-M,EAST END,0015-2004,CPB
48658,ML,15-2004,2800.166,6.896,ML,OAKLEY,0015-2004,CPB
48659,OL,15-2004,1394.054,1.765,OL,OAKLEY,0015-2004,CPB
48660,RM-2.0,15-2004,2644.332,9.278,RM-2.0,PLEASANT RIDGE,0015-2004,CPB
48661,PR,258-2007,3647.526,15.023,PR,WINTON PLACE,0258-2007, 
48662,CC-P,38-2007,1754.971,2.984,CC-P,OAKLEY,0015-2004,CPB
48663,RM-2.0,15-2004,2735.189,4.494,RM-2.0,HYDE PARK,0015-2004,CPB
48664,CG-A,15-2004,5002.566,12.376,CG-A,LINWOOD,0015-2004,CPB
48665,PR,258-2007,3382.417,10.608,PR,CARTHAGE,0258-2007, 
48666,RM-1.2,70-2006,3462.445,12.55,RM-1.2,MADISONVILLE,0015-2004,CPB
48667,SF-6,15-2004,7688.272,33.332,SF-6,WINTON PLACE,0015-2004,CPB
48668,PR,258-2007,1864.651,4.494,PR,RIVERSIDE,0258-2007, 
48669,SF-4,15-2004,2640.819,5.874,SF-4,LINWOOD,0015-2004,CPB
48670,PR,258-2007,1174.608,1.939,PR,WEST PRICE HILL,0258-2007, 
48671,SF-4,15-2004,10395.425,125.224,SF-4,WEST PRICE HILL,0015-2004,CPB
48672,CC-A,15-2004,1525.9,2.252,CC-A,WESTWOOD,0015-2004,CPB
48673,OG,161-2007,2115.032,1.697,OG,MOUNT AIRY,0015-2004,CPB
48674,PR,258-2007,3260.673,9.601,PR,SEDAMSVILLE,0258-2007, 
48675,PR,258-2007,1440.093,2.778,PR,CALIFORNIA,0258-2007, 
48676,PR,258-2007,849.868,0.751,PR,EAST END,0258-2007, 
48677,SF-6,15-2004,266.123,0.077,SF-6,WEST PRICE HILL,0015-2004,CPB
48678,CN-M,15-2004,1788.355,3.13,CN-M,EAST WESTWOOD,0015-2004,CPB
48679,RF-R,15-2004,6094.488,11.768,RF-R,RIVERSIDE,0015-2004,CPB
48680,SF-6,15-2004,7484.186,50.42,SF-6,RIVERSIDE,0015-2004,CPB
48681,RM-2.0,15-2004,2747.72,7.177,RM-2.0,WESTWOOD,0015-2004,CPB
48682,SF-6,15-2004,919.13,1.136,SF-6,SOUTH FAIRMOUNT,0015-2004,CPB
48683,RMX,15-2004,2271.967,2.858,RMX,OAKLEY,0015-2004,CPB
48684,RM-2.0,15-2004,2574.749,9.552,RM-2.0,MOUNT AIRY,0015-2004,CPB
48685,CC-M,313-2005,2370.989,6.799,CC-M,RIVERSIDE,0015-2004,CPB
48686,PR,258-2007,727.831,0.732,PR,OVER-THE-RHINE,0258-2007, 
48687,CG-A,15-2004,2100.838,4.499,CG-A,CALIFORNIA,0015-2004,CPB
48688,RMX,15-2004,2312.052,6.951,RMX,WEST PRICE HILL,0015-2004,CPB
48689,PR,258-2007,5675.175,35.26,PR,SAYLER PARK,0258-2007, 
48690,SF-6,15-2004,6756.604,28.702,SF-6,WEST PRICE HILL,0015-2004,CPB
48691,SF-6,15-2004,1189.627,1.464,SF-6,SOUTH FAIRMOUNT,0015-2004,CPB
48692,PR,258-2007,1500.389,3.025,PR,CBD/RIVERFRONT,0258-2007, 
48693,SF-6,15-2004,3178.458,7.058,SF-6,MOUNT WASHINGTON,0015-2004,CPB
48694,CC-A,15-2004,3840.29,14.106,CC-A,COLLEGE HILL,0015-2004,CPB
48695,RM-2.0,15-2004,3910.861,15.784,RM-2.0,PLEASANT RIDGE,0015-2004,CPB
