OBJECTID,ZONING,ZONE_ORD,PERIMETER,ACRES,ZONE_TYPE,DIS_NAME,ORD_NUMBER,OWNER
49444,RMX-T,199-2024,9832.179,33.552,RMX-T,NORTHSIDE,0199-2024,CPE
49445,MG-T,199-2024,2960.548,11.837,MG-T,ROSELAWN,0199-2024,CPE
49446,RMX-T,199-2024,2346.991,4.578,RMX-T,NORTH AVONDALE,0199-2024,CPE
49447,RM-2.0-T,199-2024,6150.504,17.243,RM-2.0-T,ROSELAWN,0199-2024,CPE
49448,RM-2.0-T,199-2024,10599.939,79.367,RM-2.0-T,ROSELAWN,0199-2024,CPE
49449,SF-4-T,199-2024,8772.514,56.076,SF-4-T,MOUNT AUBURN,0199-2024,CPE
49450,RM-1.2-T,199-2024,6558.71,25.029,RM-1.2-T,PADDOCK HILLS,0199-2024,CPE
49451,CC-A-T,199-2024,4541.626,8.842,CC-A-T,PADDOCK HILLS,0199-2024,CPE
49452,SF-10-T,199-2024,4960.945,18.087,SF-10-T,PADDOCK HILLS,0199-2024,CPE
49453,RM-2.0-T,199-2024,8046.754,31.936,RM-2.0-T,BOND HILL,0199-2024,CPE
49454,SF-10-T,199-2024,4357.226,16.461,SF-10-T,EVANSTON,0199-2024,CPE
49455,SF-4-T,199-2024,9558.122,74.399,SF-4-T,BOND HILL,0199-2024,CPE
49456,SF-4-T,199-2024,2840.695,7.391,SF-4-T,OAKLEY,0199-2024,CPE
49457,SF-2-T,199-2024,2575.17,7.772,SF-2-T,CUF,0199-2024,CPE
49458,SF-20-T,199-2024,29904.695,426.512,SF-20-T,CLIFTON,0199-2024,CPE
49459,SF-10-T,199-2024,5516.227,35.479,SF-10-T,WEST PRICE HILL,0199-2024,CPE
49460,RM-1.2-T,199-2024,6095.578,20.798,RM-1.2-T,WESTWOOD,0199-2024,CPE
49461,CG-A-T,199-2024,13388.215,115.867,CG-A-T,PADDOCK HILLS,0199-2024,CPE
49462,SF-6-T,199-2024,14469.78,102.533,SF-6-T,WEST PRICE HILL,0199-2024,CPE
49463,SF-2-T,199-2024,1992.87,5.473,SF-2-T,NORTHSIDE,0199-2024,CPE
49464,SF-4-T,199-2024,24859.689,168.153,SF-4-T,OAKLEY,0199-2024,CPE
49465,CN-P-T,199-2024,6022.361,17.878,CN-P-T,CLIFTON,0199-2024,CPE
49466,RMX-T,199-2024,3587.285,6.558,RMX-T,COLLEGE HILL,0199-2024,CPE
49467,OL-T,199-2024,1932.189,2.634,OL-T,WEST END,0199-2024,CPE
49468,RM-2.0-T,199-2024,6087.046,40.966,RM-2.0-T,MADISONVILLE,0199-2024,CPE
49469,SF-4-T,199-2024,11903.23,89.96,SF-4-T,OAKLEY,0199-2024,CPE
49470,ML-T,199-2024,464.869,0.306,ML-T,SOUTH CUMMINSVILLE,0199-2024,CPE
49471,SF-6-T,199-2024,21922.846,119.232,SF-6-T,CLIFTON,0199-2024,CPE
49472,RM-1.2-T,199-2024,1917.437,3.321,RM-1.2-T,NORTHSIDE,0199-2024,CPE
49473,OG-T,199-2024,3005.998,6.999,OG-T,CAMP WASHINGTON,0199-2024,CPE
49474,RM-2.0-T,199-2024,4734.528,7.551,RM-2.0-T,CUF,0199-2024,CPE
49475,SF-6-T,199-2024,9287.733,44.602,SF-6-T,PLEASANT RIDGE,0199-2024,CPE
49476,RM-2.0-T,199-2024,6088.411,21.214,RM-2.0-T,NORTHSIDE,0199-2024,CPE
49477,SF-6-T,199-2024,9205.038,62.54,SF-6-T,PADDOCK HILLS,0199-2024,CPE
49478,OL-T,199-2024,2823.145,7.929,OL-T,WESTWOOD,0199-2024,CPE
49479,SF-2-T,199-2024,5142.684,13.241,SF-2-T,BOND HILL,0199-2024,CPE
49480,RM-2.0-T,199-2024,3797.488,13.653,RM-2.0-T,MOUNT ADAMS,0199-2024,CPE
49481,RMX-T,199-2024,2008.724,3.644,RMX-T,EAST PRICE HILL,0199-2024,CPE
49482,RM-0.7-T,199-2024,9406.25,28.997,RM-0.7-T,OVER-THE-RHINE,0199-2024,CPE
49483,RM-0.7-T,199-2024,2755.822,4.394,RM-0.7-T,MOUNT ADAMS,0199-2024,CPE
49484,OL-T,199-2024,755.354,0.815,OL-T,HYDE PARK,0199-2024,CPE
49485,OL-T,199-2024,2885.344,7.621,OL-T,WESTWOOD,0199-2024,CPE
49486,RM-1.2-T,199-2024,1552.242,2.369,RM-1.2-T,WEST END,0199-2024,CPE
49487,RMX-T,199-2024,3586.345,11.559,RMX-T,MOUNT AUBURN,0199-2024,CPE
49488,RM-1.2-T,199-2024,1394.307,1.701,RM-1.2-T,NORTH AVONDALE,0199-2024,CPE
49489,RMX-T,199-2024,6053.73,18.747,RMX-T,OAKLEY,0199-2024,CPE
49490,CC-A-T,199-2024,3740.474,13.918,CC-A-T,MADISONVILLE,0199-2024,CPE
49491,RM-2.0-T,199-2024,4152.581,11.91,RM-2.0-T,WESTWOOD,0199-2024,CPE
49492,ML-T,199-2024,16365.904,126.657,ML-T,MADISONVILLE,0199-2024,CPE
49493,SF-4-T,199-2024,1639.597,3.348,SF-4-T,CLIFTON,0199-2024,CPE
49494,CC-M-T,199-2024,4552.86,6.657,CC-M-T,WALNUT HILLS,0199-2024,CPE
49495,SF-2-T,199-2024,13446.94,144.444,SF-2-T,WEST PRICE HILL,0199-2024,CPE
49496,SF-20-T,199-2024,1075.454,0.587,SF-20-T,CLIFTON,0199-2024,CPE
49497,CC-A-T,199-2024,1026.746,0.779,CC-A-T,AVONDALE,0199-2024,CPE
49498,RMX-T,199-2024,14570.32,89.561,RMX-T,AVONDALE,0199-2024,CPE
49499,CC-M-T,199-2024,1304.588,1.97,CC-M-T,EAST PRICE HILL,0199-2024,CPE
49500,SF-4-T,199-2024,5257.307,16.468,SF-4-T,WESTWOOD,0199-2024,CPE
49501,CC-M-T,199-2024,9317.101,35.498,CC-M-T,OAKLEY,0199-2024,CPE
49502,SF-6-T,199-2024,9194.052,71.468,SF-6-T,AVONDALE,0199-2024,CPE
49503,CN-P-T,199-2024,2053.366,2.73,CN-P-T,MOUNT AUBURN,0199-2024,CPE
49504,RM-2.0-T,199-2024,2488.106,7.487,RM-2.0-T,PLEASANT RIDGE,0199-2024,CPE
49505,RM-1.2-T,199-2024,5946.553,14.09,RM-1.2-T,WEST PRICE HILL,0199-2024,CPE
