OBJECTID,ZONECLASS,ZONEDESC,BASEELEV,HEIGHT,LASTUPDATE,LASTEDITOR,SPI,SUBAREA,TSA,STATUS,CASEIN,CASEOUT,SUNRISE,SUNSET,CREATEDATE,CREATEDBY,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,ACRES,ZONING,EDITTED,REFERENCE,SHAPE_Area,SHAPE_Length
12248,C-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE,0,0,, , , , ,Current,Z-14-074, ,2015/04/29 00:00:00+00,2999/12/31 00:00:00+00,2015/09/21 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{61C40C03-8F2C-4B7C-A6C7-295D0D6E0677},1.45785672,C-1, ,R3545,63503.9845462645,1041.33322330305
12249,MR-4B,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH35MRMUMIREDIRE,0,0,, , , , ,Current,Z-15-002, ,2015/04/29 00:00:00+00,2999/12/31 00:00:00+00,2015/09/24 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{4ADE67FE-0EE3-473B-A351-F422497C794F},1.07671266,MR-4B, ,R3560,46901.4159160155,869.672562039331
12250,MR-3-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH35MRMUMIREDIRE,0,0,, , , , ,Current,Z-15-016, ,2015/12/16 00:00:00+00,2999/12/31 00:00:00+00,2015/12/31 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{38ED501B-D160-4EDB-8AD1-E9A80E4C1A01},4.45631668,MR-3-C, ,R3237,194116.378251167,2023.82413549602
12251,RG-4-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current,Z-15-044, ,2015/12/16 00:00:00+00,2999/12/31 00:00:00+00,2015/12/31 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{0747B439-4122-42B6-B4C5-908467D70997},0.74762336,RG-4-C, ,R960,32566.3432164237,948.758863855169
12253,RG-4-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current,Z-15-039, ,2015/11/15 00:00:00+00,2999/12/31 00:00:00+00,2016/01/22 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{F261F5BA-519F-47D2-A1B8-61A2F0940F37},1.00405517,RG-4-C, ,R208,44482.4355262049,1088.19478636413
12254,I-1-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH16LIINDIRE,0,0,, , , , ,Current,Z-16-010, ,2016/06/15 00:00:00+00,2999/12/31 00:00:00+00,2016/07/18 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{EECFDB3D-1427-4C94-A088-7247BF3648E7},0.77091406,I-1-C, ,R1794,33580.8819782842,756.922669755608
12255,I-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH16LIINDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{D6F22725-0158-4020-89BA-65E4280886C0},0.56756966,I-1, ,R103,24723.2354059405,644.906333070067
12256,PD-H,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH19APLDEOUDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{5A75964C-34AC-4D02-8E5F-0BB3D57A1263},1.9403324,PD-H, ,R3328,84520.5413449441,1607.49850162839
12257,C-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{5C7CDA4E-2A24-4E8D-9D2D-4BC8793C4BD2},6.85306805,C-1, ,R1521,298518.45030252,3025.58107308569
12258,SPI-17 SA4,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH16-18QSPPIAVSPPUINDIRE,0,0,, ,17,4, ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{E0A90D8A-5B61-4505-BB81-390B4D54637C},29.89561443,SPI-17 SA4, ,R2276,1302247.7554397,6792.89951733609
