OBJECTID,ZCODE_VERSION,ZONE_DESCRIPTION,NBHD_CONTEXT,ZONE_DISTRICT_GROUP,ZONE_USE_FORM,ZONE_DISTRICT,ZONE_DIST_TYPE,OVERLAY_DISTRICT,WAIVERS,CONDITIONS,PUD_NUM,PUD_STD_ZONE_DIST,ORD_NUM,ORD_YEAR,PBG,NOTES,PUD_DOCUMENT,GLOBALID,HEIGHT_STORIES,ADU,Shape_Area,Shape_Length
18153,2010,"Mixed Use  (MX, M-GMX)",SUBURBAN,S-MX,MX,S-MX-12,Commercial Mixed Use,,,,,,333,2010,,,NA.pdf,8b19f75c-b664-4815-a00c-d5325a575dd6,12,Yes,183733.478,1711.801897
18154,2010,"Multi Unit  (MU, RH, RO)",URBAN EDGE,E-RH,RH,E-RH-2.5,Residential,,,,,,240,2024,, ,NA.pdf,8b954f38-dc3e-47ad-b92c-f3d7875559c9,2.5,Yes,15239.28857,522.0915902
18155,2010,"Industrial - Mixed Use  (I-MX, M-IMX)",SPECIAL INDUSTRIAL,I-MX,MX,I-MX-3,Commercial Mixed Use,,,,,,333,2010,,Commercial MU per definitions in code,NA.pdf,8b95bff3-5264-47b3-be77-583dfc135e58,3,Yes,67177.38574,1142.247193
18156,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,1569,2023,,,NA.pdf,8ba57109-cc30-42ac-84a5-6fd98d000c1f,,No,1253953.938,9351.062586
18157,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-3A,Residential,,,,,,333,2010,,,NA.pdf,8bee12fe-fefb-4829-9095-6cc547c8b44e,3,Yes,5828.869629,384.634219
18158,2010,"Mixed Use  (MX, M-GMX)",URBAN,U-MX,MX,U-MX-3,Commercial Mixed Use,,,,,,333,2010,,,NA.pdf,8c07fd25-66c9-40f1-9c0e-5a229812cc9c,3,Yes,25442.48975,638.4305128
18159,2010,Single Unit  (SU),URBAN,U-SU,SU,U-SU-B,Residential,UO-3,,,,,1304,2024,,,NA.pdf,8c5872de-57be-4b14-9ea7-1e6091cbecb1,,Yes,187249.1289,2579.703155
18160,2010,Main Street  (MS),URBAN,U-MS,MS,U-MS-5,Commercial Mixed Use,,,,,,1665,2023,,,NA.pdf,8ce18ecf-8122-4324-aeeb-355999adc100,5,Yes,58702.41602,1047.429897
18161,2010,Main Street  (MS),URBAN,U-MS,MS,U-MS-3,Commercial Mixed Use,,,,,,333,2010,,,NA.pdf,8d1c147e-d112-4812-9464-acb882c1850d,3,Yes,19606.71924,565.8282621
18162,2010,"Multi Unit  (MU, RH, RO)",GENERAL URBAN,G-MU,MU,G-MU-5,Residential,,,,,,328,2024,,,NA.pdf,8d787fd4-cefa-4e85-bdcc-ebf2d795c0b2,5,Yes,12619.74121,457.3925193
18163,2010,"Multi Unit  (MU, RH, RO)",GENERAL URBAN,G-RO,RO,G-RO-5,Residential,,,,,,813,2020,,,NA.pdf,8d95584b-8950-45ac-8b3f-49d904f178fb,5,Yes,38945.07617,792.5506556
18164,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,234,,533,1987,,,PUD 234.pdf,8e7071eb-5db0-4a3c-a43f-4c4eab05a6ce,,No,54248.9209,998.0040491
18166,2010,"Multi Unit  (MU, RH, RO)",GENERAL URBAN,G-MU,MU,G-MU-3,Residential,,,,,,397,2016,,,NA.pdf,8ecbbf6b-aa3e-4dc7-ad63-0194df29ccb9,3,Yes,15506.84033,521.0191833
18167,2010,"Mixed Use  (MX, M-GMX)",GENERAL URBAN,G-MX,MX,G-MX-3,Commercial Mixed Use,,,,,,333,2010,,,NA.pdf,8f7b2e7d-631e-4541-bd9a-b201d7da2879,3,Yes,110402.6919,2008.341322
18168,2010,Industrial - General  (I-B),SPECIAL INDUSTRIAL,I,999,I-B,Industrial,UO-2,,,,,333,2010,,,NA.pdf,8fb30da4-f979-461e-a5e7-f606fa7e6a20,,No,1149515.505,6624.912595
18169,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,8fe88ecb-f9c0-463b-820a-2189eb77719b,,No,633219.6079,4662.799585
